Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;154;-93980,49230;188268,98460;189147,66437
LG;+G+F;153;-94020,59493;188347,18986;189220,16392
LG;+G+I;135;-94149,68119;188569,36238;189339,63361
RtREV;+G+I+F;154;-94131,82370;188571,64740;189450,32717
LG;+G;134;-94188,58251;188645,16502;189409,73053
WAG;+G+I+F;154;-94326,24630;188960,49260;189839,17237
VT;+G+I+F;154;-94338,73584;188985,47168;189864,15145
VT;+G+I;135;-94466,09722;189202,19444;189972,46567
Blosum62;+G+I+F;154;-94644,87011;189597,74022;190476,41999
CpREV;+G+I+F;154;-94764,23166;189836,46332;190715,14309
JTT;+G+I+F;154;-94774,63306;189857,26612;190735,94589
JTT;+G+I;135;-95045,73232;190361,46464;191131,73587
DCMut;+G+I+F;154;-95103,55630;190515,11260;191393,79237
Dayhoff;+G+I+F;154;-95104,54780;190517,09560;191395,77537
MtZoa;+G+I+F;154;-95173,73826;190655,47652;191534,15629
MtREV;+G+I+F;154;-95555,97215;191419,94430;192298,62407
MtArt;+G+I+F;154;-95968,48721;192244,97442;193123,65419
Flu;+G+I+F;154;-96095,30708;192498,61416;193377,29393
HIVb;+G+I+F;154;-96156,98362;192621,96724;193500,64701
AB;+G+I+F;154;-96892,39882;194092,79764;194971,47741
MtMam;+G+I+F;154;-97044,94457;194397,88914;195276,56891
HIVw;+G+I+F;154;-98394,58055;197097,16110;197975,84087
