Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;154;-110644,83080;221597,66160;222490,88671
LG;+G+F;153;-110695,40287;221696,80574;222584,23068
RtREV;+G+I+F;154;-110879,69865;222067,39730;222960,62241
LG;+G+I;135;-110938,81427;222147,62854;222930,65055
LG;+G;134;-110989,38867;222246,77734;223023,99919
WAG;+G+I+F;154;-111167,19687;222642,39374;223535,61885
VT;+G+I+F;154;-111215,17973;222738,35946;223631,58457
VT;+G+I;135;-111464,28294;223198,56588;223981,58789
Blosum62;+G+I+F;154;-111538,82407;223385,64814;224278,87325
CpREV;+G+I+F;154;-111706,11263;223720,22526;224613,45037
JTT;+G+I+F;154;-111732,95823;223773,91646;224667,14157
MtZoa;+G+I+F;154;-111916,41028;224140,82056;225034,04567
DCMut;+G+I+F;154;-112093,93435;224495,86870;225389,09381
Dayhoff;+G+I+F;154;-112094,05345;224496,10690;225389,33201
JTT;+G+I;135;-112241,50075;224753,00150;225536,02351
MtREV;+G+I+F;154;-112608,75819;225525,51638;226418,74149
MtArt;+G+I+F;154;-112716,21949;225740,43898;226633,66409
Flu;+G+I+F;154;-113197,07172;226702,14344;227595,36855
HIVb;+G+I+F;154;-113361,06366;227030,12732;227923,35243
AB;+G+I+F;154;-114350,06575;229008,13150;229901,35661
MtMam;+G+I+F;154;-114379,28195;229066,56390;229959,78901
HIVw;+G+I+F;154;-116152,33548;232612,67096;233505,89607
